Sujet	Bloc	Stim	Hits	FA	Miss	RC	RT	Diss	m_ppo	m_td	m_iti	t_pi	t_ra	t_td	m_density	Uncertainty
1	1	mask_ppo_8_iti_11_td_002	0	0	0	1	0.0		8.0	0.02	1100.0				2.0	55.0
1	1	mask_ppo_8_iti_15_td_002	0	0	0	1	0.0		8.0	0.02	1500.0				2.0	58.0
1	1	mask_ppo_8_td_002_iti_11_target_fq_1000_td_01_r_1	1	0	0	0	1901.0	80.0	8.0	0.02	1100.0	1000.0	1.0	0.1	2.0	55.0
1	1	mask_ppo_8_td_002_iti_11_target_fq_2045_td_01_r_1	1	0	0	0	1803.0	80.0	8.0	0.02	1100.0	2045.0	1.0	0.1	2.0	55.0
1	1	mask_ppo_8_td_002_iti_11_target_fq_2924_td_01_r_1	1	0	0	0	1910.0	80.0	8.0	0.02	1100.0	2924.0	1.0	0.1	2.0	55.0
1	1	mask_ppo_8_td_002_iti_15_target_fq_1000_td_01_r_1	1	0	0	0	1858.0	80.0	8.0	0.02	1500.0	1000.0	1.0	0.1	2.0	58.0
1	1	mask_ppo_8_td_002_iti_15_target_fq_2045_td_01_r_1	1	0	0	0	1617.0	80.0	8.0	0.02	1500.0	2045.0	1.0	0.1	2.0	58.0
1	1	mask_ppo_8_td_002_iti_15_target_fq_2924_td_01_r_1	1	0	0	0	1812.0	80.0	8.0	0.02	1500.0	2924.0	1.0	0.1	2.0	58.0
1	1	mask_ppo_96_iti_03_td_002	0	0	0	1	0.0		96.0	0.02	300.0				34.0	508.0
1	1	mask_ppo_96_iti_07_td_002	0	0	0	1	0.0		96.0	0.02	700.0				30.0	614.0
1	1	mask_ppo_96_iti_11_td_002	0	0	0	1	0.0		96.0	0.02	1100.0				28.0	663.0
1	1	mask_ppo_96_iti_15_td_002	0	0	0	1	0.0		96.0	0.02	1500.0				27.0	695.0
1	1	mask_ppo_96_td_002_iti_11_target_fq_1000_td_01_r_1	1	0	0	0	2086.0	80.0	96.0	0.02	1100.0	1000.0	1.0	0.1	28.0	663.0
1	1	mask_ppo_96_td_002_iti_11_target_fq_2045_td_01_r_1	1	0	0	0	1938.0	80.0	96.0	0.02	1100.0	2045.0	1.0	0.1	28.0	663.0
1	1	mask_ppo_96_td_002_iti_11_target_fq_2924_td_01_r_1	1	0	0	0	1900.0	80.0	96.0	0.02	1100.0	2924.0	1.0	0.1	28.0	663.0
1	1	mask_ppo_96_td_002_iti_15_target_fq_1000_td_01_r_1	1	0	0	0	2049.0	80.0	96.0	0.02	1500.0	1000.0	1.0	0.1	27.0	695.0
1	1	mask_ppo_96_td_002_iti_15_target_fq_2045_td_01_r_1	1	0	0	0	2911.0	80.0	96.0	0.02	1500.0	2045.0	1.0	0.1	27.0	695.0
